GEOID,Latitude,Longitude
42101017601,+39.9939260,-075.1343448
42101008301,+39.9577810,-075.2467384
42101008400,+39.9579899,-075.2354681
42101008500,+39.9568821,-075.2265389
42101009000,+39.9595116,-075.1906245
42101009100,+39.9594179,-075.1977245
42101009200,+39.9601608,-075.2074723
42101009300,+39.9622914,-075.2240225
42101006700,+39.9242475,-075.2242816
42101006900,+39.9306204,-075.2146526
42101007000,+39.9351850,-075.2214770
42101007200,+39.9446370,-075.2332168
42101007300,+39.9448185,-075.2232916
42101007400,+39.9408575,-075.2143067
42101007700,+39.9463523,-075.2082584
42101007800,+39.9464580,-075.2162637
42101011500,+39.9773687,-075.2518303
42101011700,+39.9919070,-075.2404371
42101011800,+39.9852889,-075.2357395
42101011900,+39.9861142,-075.2288429
42101012000,+39.9955323,-075.2297466
42101012100,+39.9964998,-075.2223795
42101012500,+39.9613701,-075.1720837
42101013100,+39.9651312,-075.1507381
42101013200,+39.9662042,-075.1571335
42101013300,+39.9666126,-075.1629455
42101013500,+39.9693564,-075.1700367
42101013700,+39.9772752,-075.1842323
42101017000,+40.0078614,-075.1834204
42101017100,+40.0027449,-075.1763248
42101017300,+39.9985707,-075.1609337
42101017400,+39.9962138,-075.1503586
42101017500,+39.9979150,-075.1429842
42101017800,+39.9913734,-075.1173063
42101017900,+39.9870535,-075.1139340
42101018300,+39.9956035,-075.0746225
42101018400,+39.9996644,-075.0637363
42101018800,+39.9973659,-075.1058296
42101021700,+40.0450277,-075.2239451
42101021800,+40.0574759,-075.2324353
42101021900,+40.0505829,-075.2470033
42101022000,+40.0562177,-075.2520092
42101980100,+40.0509585,-075.2149160
42101023100,+40.0666637,-075.2038514
42101023500,+40.0394435,-075.2007925
42101023600,+40.0427145,-075.1946940
42101023700,+40.0487394,-075.1886069
42101023800,+40.0389370,-075.1827038
42101023900,+40.0339713,-075.1875115
42101024000,+40.0280807,-075.1794623
42101025700,+40.0724586,-075.1962708
42101025800,+40.0739801,-075.1823113
42101025900,+40.0799255,-075.1759762
42101026000,+40.0761235,-075.1694560
42101026100,+40.0704645,-075.1755189
42101026200,+40.0664940,-075.1692176
42101034801,+40.0545325,-075.0163104
42101026302,+40.0687425,-075.1571945
42101026400,+40.0625462,-075.1620066
42101026500,+40.0587255,-075.1546921
42101026600,+40.0634828,-075.1473266
42101026700,+40.0547569,-075.1479247
42101026800,+40.0555270,-075.1399312
42101029900,+40.0131465,-075.0747146
42101030000,+40.0186719,-075.0780880
42101030100,+40.0204947,-075.0885046
42101030200,+40.0259863,-075.0823128
42101030600,+40.0504922,-075.0943787
42101030700,+40.0573133,-075.0885390
42101030800,+40.0547831,-075.0819056
42101030900,+40.0437632,-075.0851914
42101031000,+40.0497292,-075.0744541
42101031200,+40.0354204,-075.0774550
42101031300,+40.0393190,-075.0698140
42101031600,+40.0326126,-075.0590717
42101031700,+40.0306050,-075.0683989
42101036303,+40.1051833,-074.9702250
42101034701,+40.0645576,-075.0329783
42101034802,+40.0687035,-075.0097300
42101034900,+40.0453848,-075.0090768
42101035100,+40.0488411,-074.9859716
42101035200,+40.0559122,-074.9907443
42101035301,+40.0659313,-074.9934646
42101026301,+40.0728148,-075.1637161
42101000804,+39.9485646,-075.1677563
42101001202,+39.9459117,-075.1699475
42101001201,+39.9471666,-075.1798721
42101000803,+39.9493748,-075.1742489
42101980900,+39.9051799,-075.2174145
42101002702,+39.9280114,-075.1495606
42101003002,+39.9327263,-075.1711915
42101003001,+39.9290640,-075.1719912
42101002802,+39.9288001,-075.1614073
42101980700,+39.9104684,-075.1431656
42101002701,+39.9285526,-075.1537033
42101980600,+39.9055378,-075.1707151
42101033701,+40.0672105,-075.0482983
42101033702,+40.0707532,-075.0578212
42101031502,+40.0392658,-075.0548693
42101031401,+40.0457134,-075.0665728
42101031402,+40.0432797,-075.0602860
42101016701,+39.9911965,-075.1619017
42101016702,+39.9904175,-075.1578177
42101027901,+40.0458879,-075.1544482
42101027902,+40.0374381,-075.1543087
42101008101,+39.9483649,-075.2360506
42101007102,+39.9409204,-075.2282511
42101008802,+39.9529808,-075.2027893
42101008702,+39.9538114,-075.2070435
42101008701,+39.9535656,-075.2104988
42101008102,+39.9522216,-075.2345584
42101008602,+39.9569725,-075.2167030
42101037500,+39.9840699,-075.2551922
42101980800,+39.9714517,-075.2621770
42101018002,+39.9836344,-075.1067096
42101008801,+39.9539319,-075.1984477
42101012201,+40.0034648,-075.2106388
42101009801,+39.9775172,-075.2665972
42101007101,+39.9381580,-075.2249984
42101002801,+39.9289729,-075.1568319
42101980500,+40.0177581,-075.1441820
42101000801,+39.9497374,-075.1804054
42101001101,+39.9449918,-075.1625240
42101027402,+40.0390702,-075.1251352
42101008601,+39.9537341,-075.2165930
42101036502,+40.1235705,-074.9993521
42101036700,+39.9607248,-075.1439885
42101037600,+39.9599009,-075.1551651
42101038600,+40.0582762,-075.2110913
42101038500,+40.0757528,-075.2146234
42101038700,+40.0833122,-075.2130770
42101038800,+40.0571595,-075.1982438
42101038900,+40.0543431,-075.1682764
42101980000,+39.9880961,-075.1967773
42101026900,+40.0556007,-075.1324048
42101027000,+40.0493231,-075.1331512
42101027100,+40.0484793,-075.1263611
42101027200,+40.0472339,-075.1180889
42101027300,+40.0377547,-075.1189432
42101027500,+40.0400497,-075.1322707
42101027600,+40.0429404,-075.1392771
42101027700,+40.0505444,-075.1512267
42101027800,+40.0425278,-075.1471626
42101028000,+40.0261190,-075.1546481
42101028100,+40.0304473,-075.1491299
42101028200,+40.0348704,-075.1403327
42101031800,+40.0311021,-075.0769892
42101031900,+40.0230600,-075.0648988
42101032000,+40.0271751,-075.0548674
42101032100,+40.0170175,-075.0589752
42101032300,+40.0210898,-075.0515270
42101032500,+40.0263918,-075.0452561
42101032600,+40.0302773,-075.0396263
42101989100,+40.0377830,-075.0034085
42101032900,+40.0379010,-075.0249713
42101033000,+40.0335974,-075.0338492
42101033200,+40.0439411,-075.0448281
42101980300,+40.0812065,-075.0106977
42101035500,+40.0911285,-075.0293244
42101035800,+40.1213169,-075.0257898
42101035900,+40.1103418,-075.0151645
42101036000,+40.1042670,-075.0108187
42101036100,+40.0987766,-074.9907481
42101036203,+40.0760921,-074.9742967
42101035302,+40.0730774,-074.9968713
42101036201,+40.0820300,-074.9868079
42101036302,+40.0973153,-074.9805151
42101036900,+39.9494281,-075.1957548
42101037300,+39.9024981,-075.1879361
42101037200,+39.9129487,-075.1599379
42101038300,+40.0108630,-075.1248984
42101039000,+40.0357300,-075.0938840
42101037800,+39.9805802,-075.0956845
42101037700,+39.9824381,-075.1506932
